"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Phoenix","Phoenix","AZ","Arizona","04013","Maricopa","33.5722","-112.0891","4219697","1253","polygon","FALSE","TRUE","America/Phoenix","1","85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082","1840020568"
"Seattle","Seattle","WA","Washington","53033","King","47.6211","-122.3244","3789215","3469","polygon","FALSE","TRUE","America/Los_Angeles","1","98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194","1840021117"
"San Francisco","San Francisco","CA","California","06075","San Francisco","37.7562","-122.4430","3592294","7256","polygon","FALSE","TRUE","America/Los_Angeles","1","94130 94131 94132 94133 94134 94109 94108 94103 94102 94105 94104 94158 94127 94124 94123 94122 94121 94129 94118 94110 94112 94116 94117 94114 94115 94111 94107 94119 94120 94125 94126 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177 94188","1840021543"
"Detroit","Detroit","MI","Michigan","26163","Wayne","42.3834","-83.1024","3506126","1864","polygon","FALSE","TRUE","America/Detroit","1","48209 48208 48201 48207 48205 48204 48203 48206 48227 48238 48239 48234 48235 48233 48202 48243 48214 48215 48216 48217 48210 48211 48212 48213 48219 48228 48224 48226 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288","1840003971"
"San Diego","San Diego","CA","California","06073","San Diego","32.8312","-117.1225","3220118","1686","polygon","FALSE","TRUE","America/Los_Angeles","1","92109 92108 92103 92111 92154 92110 92115 92140 92107 92106 92105 92104 92102 92071 92132 92130 92131 92134 92139 92025 92027 92147 92145 92014 92119 92117 92121 92120 92123 92122 92124 92127 92126 92129 92128 92101 92037 92173 92113 92114 92116 92038 92039 92072 92092 92093 92112 92137 92138 92142 92143 92149 92150 92152 92153 92158 92159 92160 92161 92163 92165 92166 92167 92168 92169 92170 92171 92172 92174 92175 92176 92177 92179 92182 92186 92187 92191 92192 92193 92195 92196 92197 92198 92199","1840021990"
"Minneapolis","Minneapolis","MN","Minnesota","27053","Hennepin","44.9635","-93.2678","2977172","3071","polygon","FALSE","TRUE","America/Chicago","1","55403 55409 55408 55407 55406 55405 55404 55402 55401 55430 55454 55455 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417 55440 55458 55459 55467 55470 55472 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488","1840007830"
"Tampa","Tampa","FL","Florida","12057","Hillsborough","27.9942","-82.4451","2908063","1353","polygon","FALSE","TRUE","America/New_York","1","33637 33629 33621 33620 33619 33616 33613 33610 33617 33614 33611 33612 33605 33603 33647 33609 33604 33607 33606 33602 33608 33622 33623 33630 33631 33633 33646 33650 33655 33664 33672 33673 33674 33677 33679 33681 33684 33686 33689","1840015982"
"Denver","Denver","CO","Colorado","08031","Denver","39.7621","-104.8759","2876625","1831","polygon","FALSE","TRUE","America/Denver","1","80264 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80208 80217 80243 80244 80248 80250 80256 80257 80259 80261 80262 80265 80266 80271 80273 80274 80281 80291 80299","1840018789"
"Brooklyn","Brooklyn","NY","New York","36047","Kings","40.6501","-73.9496","2559903","14221","polygon","FALSE","TRUE","America/New_York","1","11212 11213 11216 11233 11238 11209 11214 11228 11204 11218 11219 11230 11234 11236 11239 11223 11224 11229 11235 11201 11205 11215 11217 11231 11203 11210 11225 11226 11207 11208 11211 11222 11220 11232 11206 11221 11237","1840034030"
"Queens","Queens","NY","New York","36081","Queens","40.7498","-73.7976","2230722","7885","polygon","FALSE","TRUE","America/New_York","1","11361 11362 11363 11364 11354 11355 11356 11357 11358 11359 11360 11365 11366 11367 11412 11423 11432 11433 11434 11435 11436 11101 11102 11103 11104 11105 11106 11374 11375 11379 11385 11691 11692 11693 11694 11695 11697 11004 11005 11411 11413 11422 11426 11427 11428 11429 11414 11415 11416 11417 11418 11419 11420 11421 11368 11369 11370 11372 11373 11377 11378","1840034002"
"Riverside","Riverside","CA","California","06065","Riverside","33.9381","-117.3948","2107852","1574","polygon","FALSE","TRUE","America/Los_Angeles","1","92508 92503 92501 92505 92504 92507 92506 92502 92513 92514 92516 92517 92521 92522","1840020551"
"Baltimore","Baltimore","MD","Maryland","24510","Baltimore","39.3051","-76.6144","2106068","2830","polygon","FALSE","TRUE","America/New_York","1","21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21226 21201 21223 21224 21225 21229 21203 21233 21263 21264 21270 21273 21275 21278 21279 21281 21287 21290 21297 21298","1840001592"
"Las Vegas","Las Vegas","NV","Nevada","32003","Clark","36.2333","-115.2654","2104198","1773","polygon","FALSE","TRUE","America/Los_Angeles","1","89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89149 89124 89110 89117 89129 89128 88901 88905 89105 89114 89116 89125 89126 89127 89133 89137 89140 89151 89152 89153 89155 89158 89163 89185 89195","1840020364"
"Portland","Portland","OR","Oregon","41051","Multnomah","45.5372","-122.6500","2074775","1894","polygon","FALSE","TRUE","America/Los_Angeles","1","97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97266 97218 97236 97232 97233 97230 97239 97219 97214 97215 97216 97217 97210 97211 97212 97213 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97280 97282 97283 97286 97290 97291 97292 97293 97294","1840019941"
"San Antonio","San Antonio","TX","Texas","48029","Bexar","29.4658","-98.5253","2049293","1231","polygon","FALSE","TRUE","America/Chicago","1","78112 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78245 78231 78230 78233 78232 78235 78234 78237 78239 78238 78209 78109 78266 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78247 78240 78242 78248 78249 78073 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229 78206 78241 78246 78265 78268 78269 78270 78278 78279 78280 78283 78284 78285 78288 78289 78291 78292 78293 78294 78295 78296 78297 78298 78299","1840022220"
"St. Louis","St. Louis","MO","Missouri","29510","St. Louis","38.6358","-90.2451","2024074","1879","polygon","FALSE","TRUE","America/Chicago","1","63110 63111 63112 63113 63115 63116 63118 63120 63139 63107 63106 63104 63103 63102 63101 63109 63108 63155 63137 63143 63147 63150 63156 63157 63158 63160 63163 63164 63166 63169 63177 63178 63179 63180 63188 63197","1840001651"
"Sacramento","Sacramento","CA","California","06067","Sacramento","38.5667","-121.4683","1898019","2029","polygon","FALSE","TRUE","America/Los_Angeles","1","95820 95838 95832 95833 95831 95834 95835 95811 95814 95815 95816 95818 95819 95828 95821 95823 95822 95825 95824 95826 95817 94203 94204 94205 94207 94208 94209 94211 94229 94230 94232 94234 94235 94236 94237 94239 94240 94244 94245 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94282 94283 94284 94285 94287 94288 94289 94290 94291 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894","1840021491"
"Orlando","Orlando","FL","Florida","12095","Orange","28.4772","-81.3369","1822394","1003","polygon","FALSE","TRUE","America/New_York","1","32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32811 32814 32812 32802 32853 32854 32856 32861 32862 32872 32877 32885 32886 32891 32897","1840015099"
"San Jose","San Jose","CA","California","06085","Santa Clara","37.3019","-121.8486","1798103","2218","polygon","FALSE","TRUE","America/Los_Angeles","1","95118 95128 95124 95125 95123 95008 95002 95117 95116 95111 95110 95113 95112 95119 95126 95127 95120 95121 95148 95133 95132 95131 95130 95136 95135 95134 95139 95138 95037 95013 95129 95122 95101 95103 95106 95109 95115 95141 95150 95151 95153 95154 95155 95156 95157 95158 95159 95160 95161 95164 95172 95173 95190 95191 95192 95193 95194 95196","1840021570"
"Cleveland","Cleveland","OH","Ohio","39035","Cuyahoga","41.4767","-81.6804","1710093","1893","polygon","FALSE","TRUE","America/New_York","1","44135 44128 44119 44113 44112 44111 44110 44115 44114 44144 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199","1840000596"
"Pittsburgh","Pittsburgh","PA","Pennsylvania","42003","Allegheny","40.4396","-79.9762","1703266","2093","polygon","FALSE","TRUE","America/New_York","1","15216 15217 15214 15212 15213 15210 15211 15218 15219 15290 15232 15233 15260 15205 15204 15207 15206 15201 15203 15208 15224 15234 15222 15221 15220 15226 15120 15230 15240 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15270 15272 15274 15279 15281 15282 15286 15289 15295","1840001254"
"Austin","Austin","TX","Texas","48453","Travis","30.3004","-97.7522","1687311","1181","polygon","FALSE","TRUE","America/Chicago","1","78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78680 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799","1840019590"
"Cincinnati","Cincinnati","OH","Ohio","39061","Hamilton","39.1413","-84.5061","1662691","1507","polygon","FALSE","TRUE","America/New_York","1","45219 45213 45212 45211 45217 45216 45214 45233 45225 45237 45229 45226 45227 45224 45232 45230 45204 45205 45206 45207 45202 45203 45208 45209 45223 45239 45238 45220 45201 45221 45250 45254 45262 45263 45264 45267 45268 45269 45270 45271 45273 45274 45275 45296 45298 45299 45999","1840003814"
"Kansas City","Kansas City","MO","Missouri","29095","Jackson","39.1239","-94.5541","1636715","607","polygon","FALSE","TRUE","America/Chicago","1","64161 64163 64165 64167 64053 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64106 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64192 64119 64118 64114 64117 64116 64111 64110 64113 64112 64132 64130 64146 64145 64149 64147 64139 64138 64133 64131 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999","1840008535"
"Manhattan","Manhattan","NY","New York","36061","New York","40.7834","-73.9662","1628706","27545","polygon","FALSE","TRUE","America/New_York","1","10026 10027 10030 10037 10039 10001 10011 10018 10019 10020 10036 10029 10035 10010 10016 10017 10022 10012 10013 10014 10004 10005 10006 10007 10038 10280 10002 10003 10009 10021 10028 10044 10065 10075 10128 10023 10024 10025 10031 10032 10033 10034 10040","1840034000"
"Indianapolis","Indianapolis","IN","Indiana","18097","Marion","39.7771","-86.1458","1588961","935","polygon","FALSE","TRUE","America/Indiana/Indianapolis","1","46218 46219 46217 46214 46260 46268 46224 46228 46183 46231 46234 46235 46236 46237 46239 46250 46208 46201 46203 46202 46205 46204 46256 46254 46259 46227 46226 46225 46222 46221 46220 46229 46113 46278 46241 46240 46206 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298","1840030084"
"Columbus","Columbus","OH","Ohio","39049","Franklin","39.9862","-82.9850","1562009","1582","polygon","FALSE","TRUE","America/New_York","1","43026 43109 43054 43220 43221 43222 43223 43224 43081 43228 43227 43211 43213 43212 43215 43214 43217 43219 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43210 43202 43203 43201 43206 43207 43204 43205 43209 43218 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291","1840003760"
"Charlotte","Charlotte","NC","North Carolina","37119","Mecklenburg","35.2080","-80.8304","1512923","1113","polygon","FALSE","TRUE","America/New_York","1","28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28227 28226 28278 28270 28273 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28223 28224 28228 28229 28230 28231 28232 28233 28234 28235 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28274 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299","1840014557"
